scorer,DLC_resnet101_multipointsFeb7shuffle1_26000.3,DLC_resnet101_multipointsFeb7shuffle1_26000.4,DLC_resnet101_multipointsFeb7shuffle1_26000.5,DLC_resnet101_multipointsFeb7shuffle1_26000.9,DLC_resnet101_multipointsFeb7shuffle1_26000.10,DLC_resnet101_multipointsFeb7shuffle1_26000.11,DLC_resnet101_multipointsFeb7shuffle1_26000.39,DLC_resnet101_multipointsFeb7shuffle1_26000.40,DLC_resnet101_multipointsFeb7shuffle1_26000.41,DLC_resnet101_multipointsFeb7shuffle1_26000.42,DLC_resnet101_multipointsFeb7shuffle1_26000.43,DLC_resnet101_multipointsFeb7shuffle1_26000.44,DLC_resnet101_multipointsFeb7shuffle1_26000.45,DLC_resnet101_multipointsFeb7shuffle1_26000.46,DLC_resnet101_multipointsFeb7shuffle1_26000.47
bodyparts,bodypart2,bodypart2,bodypart2,bodypart4,bodypart4,bodypart4,bodypart14,bodypart14,bodypart14,bodypart15,bodypart15,bodypart15,bodypart16,bodypart16,bodypart16
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
25,1175.639282,680.5198975,0.885453284,1205.739136,634.3094482,0.776855588,1196.093506,680.12323,0.462414712,1181.003174,691.1962891,0.020217318,743.3122559,214.4116669,0.033633996
26,1173.276978,681.6456909,0.886149943,1204.442017,634.9335327,0.817649007,1188.034424,680.8737183,0.588162303,1179.309937,709.6987305,0.0204219,743.2709961,214.3626709,0.036150377
27,1171.07019,682.2872314,0.895149767,1203.444214,635.6623535,0.84147197,1187.052734,681.3869629,0.615020812,1155.64856,710.6274414,0.023146003,743.3310547,214.4698639,0.038311187
28,1169.623657,682.6046753,0.871963322,1203.256348,635.4578247,0.822694659,1186.497559,681.642334,0.595855772,1170.298584,692.7285767,0.021334635,743.2174072,214.6324005,0.038880698
29,1168.244263,685.4463501,0.888988733,1202.737671,635.9199829,0.825808465,1185.986328,682.3956909,0.594298184,1170.280518,692.7186279,0.025946023,743.1417847,214.5949249,0.034184426
30,1166.942749,686.5432129,0.872958899,1201.717163,636.7890625,0.843560755,1184.749023,682.7930908,0.575574398,1169.80835,692.9110107,0.027679656,743.0457153,214.6064301,0.034158979
31,1163.909302,684.6870117,0.883655667,1201.671875,636.9697266,0.858547807,1187.213989,688.1971436,0.647066057,1169.141235,693.3357544,0.029174829,742.9927368,214.6303406,0.034607269
32,1162.934937,684.9493408,0.902526855,1200.841431,637.3580933,0.837554455,1186.485962,689.0512085,0.623470902,1168.234497,693.6369019,0.024740264,743.0372925,214.6835938,0.034561779
33,1163.083618,685.3814087,0.899533749,1200.437378,637.3616333,0.835199535,1186.227661,688.5082397,0.659928024,1168.039917,693.6359863,0.02452752,743.1050415,214.5155792,0.037755951
34,1162.574341,686.5368652,0.912439048,1198.796753,637.7674561,0.791385651,1185.233643,689.1262207,0.640474737,1167.166504,693.9649048,0.022612698,743.1381836,214.4862366,0.036347687
35,1162.57019,687.7282104,0.92398423,1194.284546,636.2711182,0.828883529,1184.786621,689.385437,0.647873223,1166.883545,693.8002319,0.022931781,743.3205566,214.6250916,0.040145516
